,Unnamed: 0,question_text,processed_question,cluster
52,52,다른 디자이너와 당신의 차별점은 무엇이라고 생각하나요,다른 디자이너 당신 차별 점 무엇 생각 하나요,2
53,53,지원자님이 우리 회사에 들어와 하고 싶으신 업무가 있으신가요 있으시다면 이유와 함께 말씀해 주세요,원자 우리 회사 업무 가요 이유 말씀,4
54,54,면접자분께서 일을 하시다가 보면 생각보다 업무량이 많다고 느껴지실 때가 많습니다 그래도 그 일에 대해서 잘 버틸 수 있고 잘 해결해 나갈 수 있으신지 그에 대한 어떤 결심이라든지 생각들을 얘기해 주시기 바랍니다,면접 분 일 생각 업 무량 때 그 일 대해 수 해결 수 신지 그 대한 결심 생각 얘기 시기,2
55,55,만약 우리 회사가 해외 무대로 진출한다면 어디로 진출하는 것이 좋다고 생각을 하십니까 그 이유도 말씀해 보십시오,만약 우리 회사 해외 무대 진출 어디 진출 것 생각 그 이유 말씀,4
56,56,본인의 장점과 단점을 말씀을 해 보시고요 그리고 그 단점을 극복하고 장점을 극대화하기 위해서 어떤 노력을 했는지도 함께 말씀을 해주세요,본인 장점 단점 말씀 해 그 단점 극복 장점 극대 위해 노력 말씀,6
57,57,남을 잘 이끄는 리더형과 아니면 남을 잘 따르는 팔로워 형 지원자께서는 이 둘 중에 어떠한 유형인지 이유도 함께 설명해 주세요,남 리더 남 팔로워 형 지원 이 둘 중 유형 이유 설명,1
58,58,다른 많은 계열사도 있습니다만 지원자님께서 이 계열사에 지원해 주셨던 특별한 이유가 있을까요 이유를 들어 보고 싶습니다,다른 계열 사도 원자 이 계 열사 지원 이유 이유 보고,4
59,59,최근에 본 뉴스들 가운데에서 지원자님한테 가장 인상 깊었던 뉴스가 있을까요 그 뉴스가 어떤 부분에서 인상적으로 기억에 남았나요 개인적인 이유가 있을까요,최근 뉴스 가운데 원자 가장 인상 뉴스 그 뉴스 부분 인상 기억 개인 이유,1
60,60,면접자분이 생각하시는 디자인이란 무엇인지 서술해 주시길 바랍니다,면접 분 생각 디자인 무엇 서술,2
61,61,지원자님께서는 이 분야에 지원하시기 위해 관련된 어떤 노력을 하셨나요 생각나는 대로 말해주세요,원자 이 분야 지원 위해 관련 노력 대로 말,6
62,62,트렌드는 아주 빠르게 변화하는데요 최근 디자인 트렌드는 무엇이라고 생각하시는지 지원자님의 견해를 말씀 부탁드립니다,트렌드 아주 변화 최근 디자인 트렌드 무엇 생각 원자 견해 말씀,1
63,63,좋은 디자인이란 무엇이라고 생각하나요,디자인 무엇 생각 하나요,2
64,64,저희 회사 같은 경우에는 일의 특성에 따라 다르겠지만 외근이나 야근이 좀 많을 수도 있습니다 이런 근무 환경에 대해서 본인이 얼마큼 받아들일 수 있는지 한번 고민을 해 보시구요 그 이유에 대해서 설명을 해 주세요,저희 회사 경우 일 특성 외근 야근 좀 수도 근무 환경 대해 본인 얼마 수 한번 고민 해 그 이유 대해 설명 해,4
65,65,현대인은 하루 평균 세 번 거짓말을 하고 산다고 합니다 지원자님께서 해 본 가장 기억에 남는 거짓말은 무엇입니까,현대인 하루 평균 세 번 거짓말 산다 원자 해 가장 기억 거짓말 무엇 입,1
66,66,협업하는 과제와 혼자 하는 과제 중 어떤 것을 선호하시나요 그 이유도 함께 말씀해 주십시오,협업 과제 혼자 과제 중 것 선호 그 이유 말씀 시오,1
67,67,사내 스터디를 만들어 공부할 수 있다면 어떤 것을 공부하고 싶으신가요 그 이유도 함께 이야기해 주세요,사내 스터디 공부 수 것 공부 가요 그 이유 이야기,3
68,68,면접자께서는 지금부터 삼 년 뒤까지 삼 년 내 주요 성장 계획이나 목표가 있으십니까 있으시다면 무엇인지 설명 부탁드리겠습니다,면접 지금 삼 년 뒤 삼 년 내 주요 성장 계획 목표 무엇 설명,1
69,69,업무를 하다가 만일 상사가 지원자님에게 어려운 지시를 준다면 어떻게 극복하시겠어요,업무 만일 상사 원자 지시 극복,4
70,70,그 이전 직장에서 그 퇴사를 하셨는데요 뭐 퇴사하신 것을 혹시라도 후회하신 적은 없으신지 그 만약에 있다면 그 왜인지도 고 이유 함께 말씀 부탁 드리겠습니다,그 이전 직장 그 퇴사 뭐 퇴사 것 혹시 후회 신지 그 만약 그 왜 인지도 고 이유 말씀 부탁,1
71,71,주로 영감은 어디에서 찾으시나요,주로 영감 어디,1
72,72,일을 하다 보면 상사와 트러블이 생길 수가 있는데요 어떻게 하면 좋을까요 또 상사가 혼을 내면 기분 나쁘시진 않을까요,일 상사 트러블 수가 또 상사 혼 내면 기분,4
73,73,지원자님께서 생각하셨을 때 본인은 남을 잘 이끄는 리더형일까요 아니면 남에게 잘 따르는 팔로워 형일까요 본인이 어떤 유형이실지 혹은 왜 그 유형일지 그 이유도 함께 설명해 주세요,원자 생각 때 본인 남 리더 요 남 팔로워 형 요 본인 유형 실지 왜 그 유형 일지 그 이유 설명,2
74,74,여기가 지금 가상 현실 속이라면 게임 속이라면 지원자님은 이 게임에 어떤 캐릭터 어떤 역할을 맡아서 수행을 하고 싶으세요,여기 지금 가상 현실 게임 원자 이 게임 캐릭터 역할 수행,4
75,75,어 최근에 가장 기억에 남는 디자인 사례가 있었으면 거기에 대해서 말씀 부탁드릴게요,최근 가장 기억 디자인 사례 거기 대해 말씀,1
76,76,지금 읽고 계신 책이 있는지 있다면 무슨 책인지 궁금합니다 왜 그 책을 읽으시는지도 함께 말씀해 주시겠습니까,지금 책 무슨 책 왜 그 책 말씀,1
77,77,만약 시간이 촉박한 상황이 생긴다면 그때 지원자님은 시간 관리를 어떻게 하시나요 지원자님의 시간 관리법을 말씀해 주세요,만약 시간 상황 그때 원자 시간 관리 원자 시간 관리 법 말씀,4
78,78,지원자님께선 협업하는 과제와 혼자 하는 과제 중에서 무엇을 더 선호하시는지 그 이유와 함께 설명해 주시기 바랍니다,원자 협업 과제 혼자 과제 중 무엇 더 선호 그 이유 설명 시기,1
79,79,기차가 운행 시 산사태로 삼십 분 동안 정차하게 되었습니다 그때 관리 책임의 위치 있다면 어떻게 조치하실 것인가요,기차 운행 시 산사태 삼십 분 동안 정차 그때 관리 책임 위치 조치 것,4
80,80,최근 들어 아주 재미있게 하고 있는 일이 있으신지 있으시다면 그 일이 왜 재미가 있는지 자세히 설명을 해 주시기 바랍니다,최근 아주 신지 그 왜 재미 설명 해 시기,1
81,81,면접자님이 생각하는 글로벌 인재에게 필수적인 요소는 무엇이고 면접자님은 그 요소를 충족하기 위해 했던 노력은 무엇인지 말씀 부탁드립니다,면접 자 생각 글로벌 인재 필수 요소 무엇 면접 자 그 요소 충족 위해 노력 무엇 말씀,6
82,82,지원자님이 생각하는 지원자님에 성격적인 장점과 단점에 대해서 각각 구체적인 예시를 들어서 설명해 주시기 바라겠습니다,원자 생각 원자 성격 장점 단점 대해 각각 구체 예시 설명 시기,2
83,83,지원자님의 단점이 있다면 자유롭게 말씀해 주시고 그 단점을 보완하기 위해 어떤 노력을 했는지 한 노력이 있다면 함께 말씀해 주세요,원자 단점 말씀 주시 그 단점 보완 위해 노력 노력 말씀,6
84,84,지원자님께서 좋아하시거나 혹은 존경하는 디자이너가 있다면 한번 말씀해 주시고 그 이유와 함께 말씀 부탁드립니다,원자 존경 디자이너 한번 말씀 주시 그 이유 말씀,1
85,85,아 본인이 생각하는 지원자님의 장단점이 아니고 다른 사람이 생각하는 지원자님의 장점과 단점은 뭐라고 생각하시는지요 그 이유도 함께 설명해 주세요,본인 생각 원자 장단점 다른 사람 생각 원자 장점 단점 생각 그 이유 설명,2
86,86,면접자 본인이 눈여겨 본 디자인은 무엇이며 최근 디자인 트렌드는 무엇입니까,면접 본인 눈 디자인 무엇 최근 디자인 트렌드 무엇 입,1
87,87,만약에 업무를 하다가 아 좀 적성에 맞지 않는다 이 업무를 하고 싶지가 않다 라고 가정을 해 보면요 그럴 경우에는 어떻게 대처하실 생각인지 궁금합니다,만약 업무 좀 적성 이 업무 가정 해 경우 대처 생각,4
88,88,지원자님께서 요즘 특별히 공부하고 계신 것이 있으신가요 만약 공부하고 있는 게 있다면 왜 그것을 공부하는지 공부 학습 동기와 그리고 지금까지 성과에 관해서 한 번 말씀 부탁드립니다,원자 요즘 공부 것 가요 만약 공부 게 왜 그것 공부 공부 학습 동기 지금 성과 관해 번 말씀,3
89,89,지원자님께서 입사 후 기존에 원하던 일을 못 하게 되었습니다 그럴 때 지원자님은 어떻게 하시겠습니까 그렇게 하실 이유도 말씀해 주세요,원자 입사 후 기존 일 못 때 원자 이유 말씀,4
90,90,지원자님이 입사를 한 이후에 쉬운 일과 어려운 일이 있을 텐데요 이 일에 대해서 분배를 어떻게 하실 건지 어떻게 나눠서 처리할 생각이신지 궁금합니다,원자 입사 이후 일과 이 일 대해 분배 처리 생각 신지,4
91,91,지원자님은 지원자님만의 스트레스 해소 방법이 있나요 지원자님은 스트레스를 받으면 어떻게 해소하시는지 왜 그런 방법으로 해소하시는지 저에게 말씀해 주시겠어요,원자 원자 스트레스 해소 방법 원자 스트레스 해소 왜 방법 해소 저 말씀,5
92,92,지원자님께서 스터디를 따로 하고 계신 게 있는지 궁금한데요 있다면 어떤 공부를 왜 하고 계시는지도 함께 설명해 주시면 감사하겠습니다,원자 스터디 게 공부 왜 설명 주시,3
93,93,그동안에 디자인 트렌드 중에 인상 깊었던 것이 있었나요 있었다면 무엇이었나요,그동안 디자인 트렌드 중 인상 것 무엇,1
94,94,후보자님이 좋아하는 혹은 존경하는 디자이너가 있다면 어 그분은 누구이신지 또 그분의 어떤 점을 좀 닮고 싶은지 벤치마킹을 하고 싶은지 이유에 대해서 설명해 주시기 바랍니다,후보자 존경 디자이너 분 누구 신지 또 분 점 좀 벤치마킹 이유 대해 설명 시기,1
95,95,지원자님은 과거의 프로젝트를 수행했던 경험이 있을 텐데요 그 프로젝트 중에서 어떤 역할을 지원자님은 맡으셨는지 설명해 주시기 바랍니다,원자 과거 프로젝트 수행 경험 그 프로젝트 중 역할 원자 설명 시기,1
96,96,현대인은 하루 평균 세 번 거짓말을 한다고 합니다 그렇다면 지원자님이 해 본 가장 기억에 남는 거짓말은 과연 무엇인가요,현대인 하루 평균 세 번 거짓말 원자 해 가장 기억 거짓말 과연 무엇,1
97,97,지원자님께서 생각하시기에 자신의 노년는 어떤 모습이었으면 좋겠습니까 자신이 생각하는 이상적인 노년의 모습을 말씀 부탁 드리겠습니다,원자 생각 자신 노년 모습 자신 생각 이상 노년 모습 말씀 부탁,2
98,98,지원자님께서는 일을 하다 보면 상사와 트러블이 생길 수 있는데 어떻게 할 것입니까 지원자님께 또 상사가 혼내면 기분 나쁘시지 않을까요,원자 일 상사 트러블 수 것입 원자 또 상사 기분,4
99,99,최근 접한 기억에 남는 디자인 사례는 무엇이었는지 설명 부탁드리겠습니다,최근 접 기억 디자인 사례 무엇 설명,1
100,100,스트레스를 해소하기 위한 지원자님만의 방법이 있으신가요 왜 그런 방법으로 스트레스를 해소하는지도 함께 답변 부탁드립니다,스트레스 해소 위 원자 방법 가요 왜 방법 스트레스 해소 답변,5
101,101,어 일을 하던 중에 정 직 직무가 적성에 맞지 않는 일도 있을 수 있을 것입니다 그렇게 직무가 적성에 맞지 않는다면 어떻게 하실지 상황을 가정해서 말씀해 주세요,일 중 정 직 직무 적성 일도 수 것 직무 적성 상황 가정 말씀,0
102,102,지원자가 생각하는 디자인이란 무엇입니까,지원 생각 디자인 무엇 입,2
103,103,다른 디자이너와 당신의 차별점은 무엇이라고 생각이 듭니까,다른 디자이너 당신 차별 점 무엇 생각 듭,2
104,104,디자인 업무의 프로세스에 관해 간략히 설명해 주시고 이 프로세스를 적용하여 진행한 프로젝트가 있다면 함께 설명해 주시기 바랍니다,디자인 업무 프로세스 관해 설명 주시 이 프로세스 적용 진행 프로젝트 설명 시기,1
105,105,문제에 부딪쳤을 때 혼자 해결하는 편인가요 아니면 여러 사람들에게 이야기를 하는 편인가요,문제 때 혼자 해결 편 여러 사람 이야기 편,0
106,106,글로벌 인재에게 필수인 요소는 무엇이고 면접자님께서는 그것을 위해 노력했던 부분이 있으십니까 노력했던 부분이 있다면 그 부분에 대해서 말씀 부탁드리겠습니다,글로벌 인재 필수 요소 무엇 면접 자 그것 위해 노력 부분 노력 부분 그 부분 대해 말씀,6
107,107,실제로 지원자분께서 일을 하시다 보면 업무량이 어 과도하게 많아지는 일도 있을 거예요 그렇다고 한다고 해도 지원자분께서는 잘 버틸 자신이 있으신지 제일 궁금합니다,실제 원자 일 업 무량 과도 일도 거 해도 원자 자신 신지 제일,4
108,108,현대인은 하루 평균 세 번의 거짓말을 하고 산다고 합니다 지원자님께서 해 본 기억에 가장 많이 남는 거짓말은 무엇인가요,현대인 하루 평균 세 번의 거짓말 산다 원자 해 기억 가장 거짓말 무엇,1
109,109,지원자님께서는 혹시 매일 공부하는 분야가 따로 있나요 있다면 공부하는 이유를 함께 설명해 주세요,원자 혹시 매일 공부 분야 공부 이유 설명,3
110,110,일을 하게 되면 자료를 문서화할 일이 많습니다 지원자님께서는 이 문서화 작업이 왜 필요하다고 생각하시는지 들어보고 싶습니다,일 자료 문서 원자 이 문서 작업 왜 생각 보고,2
111,111,본인이 직접 해외 출장 장소를 고를 수 있다면 한 번 가서 일해보고 싶은 나라가 있나요,본인 직접 해외 출장 장소 수 번 일 나라,4
112,112,디자인 전공자로서 비전공자와 협업할 때에 가장 어려웠던 점은 무엇이고 그 어려운 점을 극복하기 위해 적용하였던 방법은 무엇인지 말씀해 주시겠습니까,디자인 전공자 로서 비 전공자 협업 때 가장 점 무엇 그 점 극복 위해 적용 방법 무엇 말씀,1
113,113,일을 하시다 보면 보통 여러 사람들과 함께 일을 하게 되는데 여러 사람들과 일을 함께 하다 보면 구성원들과 갈등이 생기기도 하죠 이럴 때 보통 지원자님께서는 어떻게 해결하시는 편일까요,일 보통 여러 사람 일 여러 사람 일 구성원 갈등 생기 기도 때 보통 원자 해결 편 요,0
114,114,어 입사 후에 만약에 상사가 업무와 무관한 일을 시켰다고 하면 잘 수행할 자신이 있을까요 아니면 수행하지 않을 건지도 궁금합니다 답변해 주시기 바랍니다,입사 후 만약 상사 업무 무관 일 수행 자신 수행 답변 시기,4
115,115,지원자님 주변의 친구분들 중에서 딱 한 명을 골라서 지금 칭찬을 해주시겠어요 최대한 그 묘사가 구체적이고 칭찬의 이유가 자세할수록 좋습니다,원자 주변 친구 중 명 골 지금 칭찬 최대한 그 묘사 구체 칭찬 이유,1
116,116,지원자님께서 본인이 가지고 있는 위치보다 어려운 목표를 달성했던 경험이 있다면 어떠한 것이 있었는지 설명해 주시기 바랍니다,원자 본인 가지 위치 목표 달성 경험 것 설명 시기,1
117,117,지원자님께서 생각하시기에 일을 하면서 가장 어려울 것으로 예상되시는 것이 무엇이 있으신가요 그리고 그 상황에서 어떻게 대처를 하실 생각이신지도 말씀해 주시기 바랍니다,원자 생각 일 가장 것 예상 것 무엇 가요 그 상황 대처 생각 지도 말씀 시기,2
118,118,지원자님은 개인적으로 공부를 어떻게 하시나요 강의나 책을 활용한 공부법을 말씀해 주셔도 좋아요,원자 개인 공부 강의 책 활용 공부 법 말씀,3
119,119,저희 회사가 더 갖추어 나가야 할 덕목은 무엇이라고 생각하시나요 지원자님께서 생각하는 좋은 회사에 대해서도 함께 말씀해 주세요,저희 회사 더 나가야 덕목 무엇 생각 원자 생각 회사 대해 서도 말씀,2
120,120,지원자님의 성격상 장점과 단점에 대해 각각 말씀해 주세요 장점과 단점에 구체적인 예시를 들어 주셔도 좋습니다 말씀해 주세요,원자 성격 장점 단점 대해 각각 말씀 장점 단점 구체 예시 말씀,1
121,121,음 평소에 개인 작업을 많이 하시는 편인가요 만약 그렇다면 어 그렇게 할 수 있는 원동력이 무엇이라고 생각하는지 말씀 부탁 드려요,음 평소 개인 작업 편 만약 수 원동력 무엇 생각 말씀 부탁,2
122,122,지원자님께서 지금까지 협업을 하면서 가장 어려웠던 것과 그 어려움을 어떻게 해결했는지 함께 말씀해 주세요,원자 지금 협업 가장 것 그 어려움 해결 말씀,1
123,123,일을 하다 보면 본인은 열심히 하지만 원하는 만큼 따라오지 못하는 팀 동료들이 있는 경우가 있습니다 본인은 이럴 때 어떻게 하나요,일 본인 만큼 팀 동료 경우 본인 때 하나요,4
124,124,살면서 다양한 커뮤니케이션 경험을 해 보셨을 텐데요 그중에서 제일 어려웠던 경험 한 가지만 골라서 설명해 주시기 바랍니다,커뮤니케이션 경험 해 중 제일 경험 가지 골 설명 시기,1
