,question_text
46,지원자님께서 우리 회사에 들어오게 된다면 가장 가고 싶은 부서와 왜 그렇게 생각하셨는지 이유를 함께 말씀해 주세요
47,아무래도 시험 기간이라던가 어떤 걸 앞두고 시간이 굉장히 촉박할 수 있습니다 어 이러한 시간 관리를 본인이 어떻게 하고 있는지 시간 관리법에 대해서 본인만의 노하우를 말씀을 해 보시죠
48,당신은 디자인 레퍼런스가 무엇인지 알고 있나요 디자인 레퍼런스는 어디서 찾아야 하는 것인지 당신의 생각을 말씀해 주십시오
49,만약 일을 하던 중 직무가 적성에 맞지 않는다면 그때는 어떻게 하시겠습니까 어 그런 상황을 좀 가정하고 말씀해 주시면 감사하겠습니다
50,그 전 회사에서 어려운 문제를 해결하기 위해 어떤 아이디어를 제안하였고 또 무엇을 하였습니까 말씀해 주세요
51,다른 사람이 생각하는 지원자님의 장 단점은 뭐라고 생각하시나요 이유도 함께 말씀 부탁드립니다
52,다른 디자이너와 당신의 차별점은 무엇이라고 생각하나요
53,지원자님이 우리 회사에 들어와 하고 싶으신 업무가 있으신가요 있으시다면 이유와 함께 말씀해 주세요
54,면접자분께서 일을 하시다가 보면 생각보다 업무량이 많다고 느껴지실 때가 많습니다 그래도 그 일에 대해서 잘 버틸 수 있고 잘 해결해 나갈 수 있으신지 그에 대한 어떤 결심이라든지 생각들을 얘기해 주시기 바랍니다
55,만약 우리 회사가 해외 무대로 진출한다면 어디로 진출하는 것이 좋다고 생각을 하십니까 그 이유도 말씀해 보십시오
56,본인의 장점과 단점을 말씀을 해 보시고요 그리고 그 단점을 극복하고 장점을 극대화하기 위해서 어떤 노력을 했는지도 함께 말씀을 해주세요
57,남을 잘 이끄는 리더형과 아니면 남을 잘 따르는 팔로워 형 지원자께서는 이 둘 중에 어떠한 유형인지 이유도 함께 설명해 주세요
58,다른 많은 계열사도 있습니다만 지원자님께서 이 계열사에 지원해 주셨던 특별한 이유가 있을까요 이유를 들어 보고 싶습니다
59,최근에 본 뉴스들 가운데에서 지원자님한테 가장 인상 깊었던 뉴스가 있을까요 그 뉴스가 어떤 부분에서 인상적으로 기억에 남았나요 개인적인 이유가 있을까요
60,면접자분이 생각하시는 디자인이란 무엇인지 서술해 주시길 바랍니다
61,지원자님께서는 이 분야에 지원하시기 위해 관련된 어떤 노력을 하셨나요 생각나는 대로 말해주세요
62,트렌드는 아주 빠르게 변화하는데요 최근 디자인 트렌드는 무엇이라고 생각하시는지 지원자님의 견해를 말씀 부탁드립니다
63,좋은 디자인이란 무엇이라고 생각하나요
64,저희 회사 같은 경우에는 일의 특성에 따라 다르겠지만 외근이나 야근이 좀 많을 수도 있습니다 이런 근무 환경에 대해서 본인이 얼마큼 받아들일 수 있는지 한번 고민을 해 보시구요 그 이유에 대해서 설명을 해 주세요
65,현대인은 하루 평균 세 번 거짓말을 하고 산다고 합니다 지원자님께서 해 본 가장 기억에 남는 거짓말은 무엇입니까
66,협업하는 과제와 혼자 하는 과제 중 어떤 것을 선호하시나요 그 이유도 함께 말씀해 주십시오
67,사내 스터디를 만들어 공부할 수 있다면 어떤 것을 공부하고 싶으신가요 그 이유도 함께 이야기해 주세요
68,면접자께서는 지금부터 삼 년 뒤까지 삼 년 내 주요 성장 계획이나 목표가 있으십니까 있으시다면 무엇인지 설명 부탁드리겠습니다
69,업무를 하다가 만일 상사가 지원자님에게 어려운 지시를 준다면 어떻게 극복하시겠어요
70,그 이전 직장에서 그 퇴사를 하셨는데요 뭐 퇴사하신 것을 혹시라도 후회하신 적은 없으신지 그 만약에 있다면 그 왜인지도 고 이유 함께 말씀 부탁 드리겠습니다
71,주로 영감은 어디에서 찾으시나요
72,일을 하다 보면 상사와 트러블이 생길 수가 있는데요 어떻게 하면 좋을까요 또 상사가 혼을 내면 기분 나쁘시진 않을까요
73,지원자님께서 생각하셨을 때 본인은 남을 잘 이끄는 리더형일까요 아니면 남에게 잘 따르는 팔로워 형일까요 본인이 어떤 유형이실지 혹은 왜 그 유형일지 그 이유도 함께 설명해 주세요
74,여기가 지금 가상 현실 속이라면 게임 속이라면 지원자님은 이 게임에 어떤 캐릭터 어떤 역할을 맡아서 수행을 하고 싶으세요
75,어 최근에 가장 기억에 남는 디자인 사례가 있었으면 거기에 대해서 말씀 부탁드릴게요
76,지금 읽고 계신 책이 있는지 있다면 무슨 책인지 궁금합니다 왜 그 책을 읽으시는지도 함께 말씀해 주시겠습니까
77,만약 시간이 촉박한 상황이 생긴다면 그때 지원자님은 시간 관리를 어떻게 하시나요 지원자님의 시간 관리법을 말씀해 주세요
78,지원자님께선 협업하는 과제와 혼자 하는 과제 중에서 무엇을 더 선호하시는지 그 이유와 함께 설명해 주시기 바랍니다
79,기차가 운행 시 산사태로 삼십 분 동안 정차하게 되었습니다 그때 관리 책임의 위치 있다면 어떻게 조치하실 것인가요
80,최근 들어 아주 재미있게 하고 있는 일이 있으신지 있으시다면 그 일이 왜 재미가 있는지 자세히 설명을 해 주시기 바랍니다
81,면접자님이 생각하는 글로벌 인재에게 필수적인 요소는 무엇이고 면접자님은 그 요소를 충족하기 위해 했던 노력은 무엇인지 말씀 부탁드립니다
82,지원자님이 생각하는 지원자님에 성격적인 장점과 단점에 대해서 각각 구체적인 예시를 들어서 설명해 주시기 바라겠습니다
83,지원자님의 단점이 있다면 자유롭게 말씀해 주시고 그 단점을 보완하기 위해 어떤 노력을 했는지 한 노력이 있다면 함께 말씀해 주세요
84,지원자님께서 좋아하시거나 혹은 존경하는 디자이너가 있다면 한번 말씀해 주시고 그 이유와 함께 말씀 부탁드립니다
85,아 본인이 생각하는 지원자님의 장단점이 아니고 다른 사람이 생각하는 지원자님의 장점과 단점은 뭐라고 생각하시는지요 그 이유도 함께 설명해 주세요
86,면접자 본인이 눈여겨 본 디자인은 무엇이며 최근 디자인 트렌드는 무엇입니까
87,만약에 업무를 하다가 아 좀 적성에 맞지 않는다 이 업무를 하고 싶지가 않다 라고 가정을 해 보면요 그럴 경우에는 어떻게 대처하실 생각인지 궁금합니다
88,지원자님께서 요즘 특별히 공부하고 계신 것이 있으신가요 만약 공부하고 있는 게 있다면 왜 그것을 공부하는지 공부 학습 동기와 그리고 지금까지 성과에 관해서 한 번 말씀 부탁드립니다
89,지원자님께서 입사 후 기존에 원하던 일을 못 하게 되었습니다 그럴 때 지원자님은 어떻게 하시겠습니까 그렇게 하실 이유도 말씀해 주세요
90,지원자님이 입사를 한 이후에 쉬운 일과 어려운 일이 있을 텐데요 이 일에 대해서 분배를 어떻게 하실 건지 어떻게 나눠서 처리할 생각이신지 궁금합니다
91,지원자님은 지원자님만의 스트레스 해소 방법이 있나요 지원자님은 스트레스를 받으면 어떻게 해소하시는지 왜 그런 방법으로 해소하시는지 저에게 말씀해 주시겠어요
92,지원자님께서 스터디를 따로 하고 계신 게 있는지 궁금한데요 있다면 어떤 공부를 왜 하고 계시는지도 함께 설명해 주시면 감사하겠습니다
93,그동안에 디자인 트렌드 중에 인상 깊었던 것이 있었나요 있었다면 무엇이었나요
94,후보자님이 좋아하는 혹은 존경하는 디자이너가 있다면 어 그분은 누구이신지 또 그분의 어떤 점을 좀 닮고 싶은지 벤치마킹을 하고 싶은지 이유에 대해서 설명해 주시기 바랍니다
95,지원자님은 과거의 프로젝트를 수행했던 경험이 있을 텐데요 그 프로젝트 중에서 어떤 역할을 지원자님은 맡으셨는지 설명해 주시기 바랍니다
96,현대인은 하루 평균 세 번 거짓말을 한다고 합니다 그렇다면 지원자님이 해 본 가장 기억에 남는 거짓말은 과연 무엇인가요
97,지원자님께서 생각하시기에 자신의 노년는 어떤 모습이었으면 좋겠습니까 자신이 생각하는 이상적인 노년의 모습을 말씀 부탁 드리겠습니다
98,지원자님께서는 일을 하다 보면 상사와 트러블이 생길 수 있는데 어떻게 할 것입니까 지원자님께 또 상사가 혼내면 기분 나쁘시지 않을까요
99,최근 접한 기억에 남는 디자인 사례는 무엇이었는지 설명 부탁드리겠습니다
100,스트레스를 해소하기 위한 지원자님만의 방법이 있으신가요 왜 그런 방법으로 스트레스를 해소하는지도 함께 답변 부탁드립니다
101,어 일을 하던 중에 정 직 직무가 적성에 맞지 않는 일도 있을 수 있을 것입니다 그렇게 직무가 적성에 맞지 않는다면 어떻게 하실지 상황을 가정해서 말씀해 주세요
102,지원자가 생각하는 디자인이란 무엇입니까
103,다른 디자이너와 당신의 차별점은 무엇이라고 생각이 듭니까
104,디자인 업무의 프로세스에 관해 간략히 설명해 주시고 이 프로세스를 적용하여 진행한 프로젝트가 있다면 함께 설명해 주시기 바랍니다
105,문제에 부딪쳤을 때 혼자 해결하는 편인가요 아니면 여러 사람들에게 이야기를 하는 편인가요
106,글로벌 인재에게 필수인 요소는 무엇이고 면접자님께서는 그것을 위해 노력했던 부분이 있으십니까 노력했던 부분이 있다면 그 부분에 대해서 말씀 부탁드리겠습니다
107,실제로 지원자분께서 일을 하시다 보면 업무량이 어 과도하게 많아지는 일도 있을 거예요 그렇다고 한다고 해도 지원자분께서는 잘 버틸 자신이 있으신지 제일 궁금합니다
108,현대인은 하루 평균 세 번의 거짓말을 하고 산다고 합니다 지원자님께서 해 본 기억에 가장 많이 남는 거짓말은 무엇인가요
109,지원자님께서는 혹시 매일 공부하는 분야가 따로 있나요 있다면 공부하는 이유를 함께 설명해 주세요
110,일을 하게 되면 자료를 문서화할 일이 많습니다 지원자님께서는 이 문서화 작업이 왜 필요하다고 생각하시는지 들어보고 싶습니다
111,본인이 직접 해외 출장 장소를 고를 수 있다면 한 번 가서 일해보고 싶은 나라가 있나요
112,디자인 전공자로서 비전공자와 협업할 때에 가장 어려웠던 점은 무엇이고 그 어려운 점을 극복하기 위해 적용하였던 방법은 무엇인지 말씀해 주시겠습니까
113,일을 하시다 보면 보통 여러 사람들과 함께 일을 하게 되는데 여러 사람들과 일을 함께 하다 보면 구성원들과 갈등이 생기기도 하죠 이럴 때 보통 지원자님께서는 어떻게 해결하시는 편일까요
114,어 입사 후에 만약에 상사가 업무와 무관한 일을 시켰다고 하면 잘 수행할 자신이 있을까요 아니면 수행하지 않을 건지도 궁금합니다 답변해 주시기 바랍니다
115,지원자님 주변의 친구분들 중에서 딱 한 명을 골라서 지금 칭찬을 해주시겠어요 최대한 그 묘사가 구체적이고 칭찬의 이유가 자세할수록 좋습니다
116,지원자님께서 본인이 가지고 있는 위치보다 어려운 목표를 달성했던 경험이 있다면 어떠한 것이 있었는지 설명해 주시기 바랍니다
117,지원자님께서 생각하시기에 일을 하면서 가장 어려울 것으로 예상되시는 것이 무엇이 있으신가요 그리고 그 상황에서 어떻게 대처를 하실 생각이신지도 말씀해 주시기 바랍니다
118,지원자님은 개인적으로 공부를 어떻게 하시나요 강의나 책을 활용한 공부법을 말씀해 주셔도 좋아요
119,저희 회사가 더 갖추어 나가야 할 덕목은 무엇이라고 생각하시나요 지원자님께서 생각하는 좋은 회사에 대해서도 함께 말씀해 주세요
120,지원자님의 성격상 장점과 단점에 대해 각각 말씀해 주세요 장점과 단점에 구체적인 예시를 들어 주셔도 좋습니다 말씀해 주세요
121,음 평소에 개인 작업을 많이 하시는 편인가요 만약 그렇다면 어 그렇게 할 수 있는 원동력이 무엇이라고 생각하는지 말씀 부탁 드려요
122,지원자님께서 지금까지 협업을 하면서 가장 어려웠던 것과 그 어려움을 어떻게 해결했는지 함께 말씀해 주세요
123,일을 하다 보면 본인은 열심히 하지만 원하는 만큼 따라오지 못하는 팀 동료들이 있는 경우가 있습니다 본인은 이럴 때 어떻게 하나요
124,살면서 다양한 커뮤니케이션 경험을 해 보셨을 텐데요 그중에서 제일 어려웠던 경험 한 가지만 골라서 설명해 주시기 바랍니다
125,어 기차가 운행 시 산사태로 삼십 분 동안 정차되었다고 가정을 해 봅시다 어 이때 관리 책임의 위치에 있다면 어떻게 조치를 하실 건지 말씀을 해 주시기 바랍니다
126,지원자님께서 일을 하다 보면 다른 지역에 업무를 수여하게 될 수 있습니다 지원자님이 타 지역 근무도 문제 없이 가능하시겠습니까
127,지원자님께서는 본인 스스로 숫자와 창의 중에서 어떤 것이 더 가깝다고 생각하는지요 어 가까운 것에 대한 그 이유도 같이 말씀해 주세요
128,특별히 가고 싶은 회사가 있나요 있다면 어떤 것이 중요한지 특정 도메인이나 회사의 분위기 그런 것들 중 어떤 점을 중점적으로 보는지 궁금합니다
129,지원자께서는 우리 회사의 디자인 부문에 지원을 하셨습니다 그렇다면 본인이 하고 싶은 디자인이 있으신지 그것에 대해서 말씀해 보십시오
130,지원자님께서 이전에 직면했던 어려운 문제를 해결하기 위해서 어떤 아이디어를 제안했고 또 무엇을 어떻게 했는지까지 과정을 자세하게 설명 부탁드리겠습니다
131,입사 후 근무를 하면서 정작 지원자님께서 지원한 분야가 지원자님과 잘 맞지 않는다는 사실을 깨닫는다면 지원자님께서는 어떻게 하실 생각이십니까
132,지원자님 만약 일을 하던 중 팀원과 불화가 생긴다면 어떻게 해결하시겠습니까 지원자님에 해결법과 그 이유를 설명할 수 있습니까
133,지원자분께서 지금까지 살아오시면서 완전히 새로운 환경에서 한번도 해보지 못했던 일을 맡아서 했던 경험이 있으시다면 그 경험에 대해서 보다 자세히 소개시켜 주세요
134,지원자께서는 주로 어디에서 영감을 받는 편입니까
135,매일 공부하고 있는 분야가 따로 있나요 있다면 왜 공부하는지 이유와 함께 설명해 주세요
136,질문 드리겠습니다 동물 실험이 인간에게 주는 이익에 대해서 말씀해 보세요 그리고 동물 실험에 대한 지원자님의 생각도 말씀해 주세요
137,다른 지원자들에 비해 본인만이 가진 차별성과 장점을 어필해야 한다면 어떤 것을 어필하시겠습니까
138,지금까지 협업을 해 보신 일이 있을 텐데요 그중에서 가장 어려웠던 점은 어떤 것이었는지 또 그 어려움을 어떻게 해결했는지도 함께 말씀해 주시면 좋겠습니다
139,현재 디자인 트렌드가 무엇이라고 생각하는지 그리고 그것을 읽기 위해 평소 어떠한 노력을 기울이고 있는지 말씀해 주세요
140,시험 기간 시간이 촉박할 때 어떻게 시간 관리를 하셨습니까 지원자님만의 시간 관리법을 말씀해 주세요
141,일을 하다 만약 상사에게 어려운 지시를 받게 되었습니다 이 때 어떻게 하실지 그렇게 하시는 이유도 같이 설명해 주세요
142,지원자께서는 휴식을 취할 때 주로 어떤 일들을 하는지 궁금합니다 그리고 왜 그 일을 하는지 이유도 함께 같이 설명해 주시길 바랍니다
143,일을 하실 때 주로 영감은 어디에서 받는가요
144,다른 지원자들에겐 없는 지원자님만이 가진 특별한 차별성 혹은 장점에 대해서 어필을 할 수 있다면 어떤 것을 말씀하실 건가요
145,업무를 하다 보면 시간이 촉각 촉박한 상황이 생길 수 있는데요 그럴 때 본인은 어떻게 시간 관리를 하고 있는지 본인만의 시간 관리법이 있으시면 말씀해 주시기 바랍니다
146,최근 우버 택시와 관련된 논란이 있었던 걸 알고 계실 텐데요 지원자님이 생각하기에 이 우버 택시에 대한 찬반 양론에 대해서는 어떻게 생각하시는지 말씀 부탁드리겠습니다
147,사람마다 각자 좋아하는 취향이 있죠 가장 좋아하는 디자인 브랜드가 무엇이 있을까요 그리고 그 브랜드를 좋아하는 이유는 무엇일까요
148,지원자님께서 생각하시는 글로벌 인재에게 필수인 요소는 무엇입니까 그리고 또한 지원자님께서 그것을 위해 노력했던 것은 무엇입니까 설명해 주세요
149,젊은 사람들이 아이폰을 선호하는 이유에 대해 어떻게 생각하시나요 지원자님께서 생각하시는 이유를 말씀해 주세요
150,지원자님은 다룰 수 있는 설계 프로그램이 있으신가요 어떤 프로그램을 다룰 수 있는지 그 프로그램에 대해서도 설명해 주세요
151,업무를 하고 있는데 만약 상사에게 어려운 지시를 받게 된다면 어떻게 대처를 하시겠습니까 어 그 이유와 함께 말씀을 해 주시기 바랍니다
152,동물 실험이 인간에게 주는 이익에 대해서 말씀해 보세요 그리고 동물 실험에 대한 지원자님의 생각은 어떠신지 말씀해 보세요
153,본인과 다른 사람이 원하는 디자인이 다를 경우에는 어떻게 대처를 하실 것입니까
154,어 지원자분께서 업무를 하시게 된다면 업무 중에 스케줄이 없던 일이 갑자기 생기는 일도 많습니다 이와 같이 스케줄이 갑자기 생기는 상황에 있어서 어떤 식으로 대처하게 되실지 궁금합니다
155,지원자님께서 어 지금까지 살아오면서 다양한 커뮤니케이션 경험을 해보셨을 텐데 어 그중에 가장 어려웠던 경험을 한 가지만 말씀해 주세요
156,지원자께서 본인의 생각이 아닌 지원자의 다른 주변 사람들이 생각하는 지원자님의 단점과 장점이 무엇인지 모두 말씀해 주시길 바랍니다
157,스터디를 따로 하고 있는 것이 있나요 있다면 어떤 공부를 어떤 이유에서 하고 있는지도 말씀해 주세요
158,현대 사회에 없어서는 안 될 가장 중요하다고 생각하는 직업은 어떤 것입니까 지원자님의 생각으로 한 가지만 골라서 말씀해 주세요
159,이 분야를 지원하기 위해서 관련된 어떤 노력을 하셨나요 지원자님이 하셨던 노력들을 생각나는 대로 말씀해 주세요
160,남들과는 다른 자신만의 경쟁력을 말씀해 주세요 경쟁력을 키우기 위해 어떤 노력을 했는지도 설명해 주세요
161,요즘 공부하는 것이 있다면 그걸 왜 공부하는지 그리고 지금까지 어떤 것을 배웠는지 말씀해 주세요
162,얼마 전 구급 대원이 주취자에게 폭행을 당해 순직 당하는 일이 있었습니다 이렇게 순직을 당하는 이러한 비극적인 사건에 대해서 지원자님께서는 어떻게 생각하시나요
163,디자인 전공을 한 전문가로서 비전공자와 협업하기 위해 생각해야 할 부분에 대해서 말씀해 주세요
164,만약에 지원자님께서 하고 싶은 직무 말고 다른 직무를 맡게 되신다면 어떻게 하시겠습니까 그래도 괜찮으신지 궁금합니다
165,지원자님이 협업을 할 때 가장 중요하게 생각하시는 것은 어떤 것일까요 왜 그걸 중요하게 생각하시는지도 한번 말씀해 주세요
166,본인이 전공한 것 외에 좀 수준급의 실력으로 어 노력한 것이 있다면 그게 무엇인지 궁금하구요 어 그 분야가 전공과 관련해서 어떤 도움을 줬는지도 궁금합니다
167,어 커뮤니케이션을 잘 할 수 있는 본인만의 스킬이 있으시다면 어 한 번 소개해 주시겠습니까 어 직접 한 번 보여주셔도 좋습니다
168,어 현재 읽고 계신 책이 있으신가요 어 있다면 무슨 책인지 어 궁금합니다 왜 그 책을 읽으시는지 이유도 함께 어 말씀해 주십시오
169,디자이너로서 일하면서 가장 힘들었던 경험에 대해 말씀해 주시겠습니까
170,지원자님께서 그동안 진행한 프로젝트들 가운데 가장 기억에 남는 프로젝트가 있다면 어떤 프로젝트고 그것이 어떤 점에서 기억에 남는지 설명 부탁드리겠습니다
171,회사에 입사를 했는데 업무 내용이나 강도가 예상했던 것과는 전혀 다르게 느껴집니다 이때 어떻게 하실 건가요
172,지원자는 디자인을 할 때 가장 중요하게 생각하는 게 무엇입니까 그것을 자세하게 말씀해 주세요
173,현대인은 평균적으로 하루 세 번의 거짓말을 하고 산다고 하죠 지원자님께서는 내가 해본 거짓말 중에서 어떤 거짓말이 가장 인상 깊게 남아 있습니까
174,지원자님께서 이 분야에 지원하기 위해서 어떠한 노력을 해 오셨는지 생각나시는 대로 모두 말씀해 주시기 바랍니다
175,지원자님은 굉장히 똑 부러지는 스타일인 것 같은데 만약에 직무를 할 때 내가 모르는 과제가 나왔다면 이건 어떻게 해결을 하실 건가요 어떻게 해결할지 그 이유까지 한번 말씀을 부탁드릴게요
176,지금 디자인 산업이 많이 활성화되어 있습니다 어 디자인 산업의 미래 전망에 관한 어 본인의 생각을 말씀 한번 해 보시겠습니까
177,팀으로 일을 진행하실 때도 있고 혼자 일을 진행하실 때도 있으실 텐데 그중에서 더 무엇을 선호하시는지 궁금합니다 어떤 것을 선호하시는지 그 이유도 같이 이야기해 주시면 좋을 것 같아요
178,어 일을 하다 보면요 업무량이 과도하게 많아질 수도 있습니다 그래도 잘 버틸 자신이 있는지 의견을 들어보고 싶습니다
179,지원자님께서는 직무를 수행할 때 난관에 봉착했다면 어떻게 해결해 나가시겠습니까 지원자님의 해결법과 그 이유에 대해서 말씀 들어보고 싶습니다
180,우리 회사가 해외 무대로 진출하게 된다면 어디로 진출하는 것이 좋다고 생각하십니까 이유도 함께 말씀해 주시기 바랍니다
181,네 일을 하다 보면 상사와 트러블이 생길 수가 있을 텐데요 어 그런 상황에서 지원자님께서는 어떻게 하실 것인지요 또 상사가 혼을 낸다면 혹시 기분이 나쁘시진 않을까요
182,지금까지 살아오면서 가장 힘들었던 경험은 무엇인가요 어떻게 극복하셨을지 궁금합니다
183,요즘 고령화 사회로 접어들면서 치매로 인한 문제들이 많이 생기고 있는데요 이에 대해서 지원자님이 보기에 건보 공단이 이런 일을 해줬으면 좋겠다 하는 개선 방안을 말씀해 주세요
184,지원자께서는 지금 읽고 계신 책이 있는지 궁금합니다 있다 면은 그 책은 무엇이며 왜 그 책을 읽는지도 함께 말씀해 주시길 바랍니다
185,본인이 그동안 속해 있었던 조직이나 단체에서 주로 어떤 역할을 맡는 사람이었나요 왜 그런 역할을 맡는 사람이었는지도 말씀해 주시겠어요
186,회사의 덕목이 무엇이라고 생각하십니까 어떤 회사가 좋은 회사라고 생각하시는지 지원자님의 의견이 궁금합니다
187,면접자께서는 디자인 레퍼런스는 어디에서 찾으시는지 설명 부탁드리겠습니다
